subject,repetition,context,interference,g,SD,nTrials
1,1,0,0,0.408718653638649,25.3579039702558,59
1,1,0,1,0.455177485434626,23.1291706878171,59
1,1,1,0,0.486881964457792,16.4642969783138,58
1,1,1,1,0.367253989937065,40.031254498962,59
1,5,0,0,0.221771490509878,24.4991595251856,57
1,5,0,1,0.079561891046379,25.8083261293158,57
1,5,1,0,0.0826215773565716,30.724282102696,56
1,5,1,1,0.0985548462018798,28.7193799829617,57
2,1,0,0,0.157656429578502,13.7829453964549,60
2,1,0,1,0.133422190217943,14.3277561842913,56
2,1,1,0,0.224651515420092,12.994648875532,59
2,1,1,1,0.182045108074312,13.1079814815823,57
2,5,0,0,0.000583073714367844,13.8864430372601,56
2,5,0,1,0.0202128064734778,11.099137103515,59
2,5,1,0,5.76790988797682e-05,11.5596573539381,59
2,5,1,1,0.000142516968782844,12.4187790586704,59
3,1,0,0,0.240698376801834,24.676068244588,59
3,1,0,1,0.212309791974648,41.5558020438616,57
3,1,1,0,0.210793787935004,22.2338242415855,55
3,1,1,1,0.156453047505393,28.7654917649508,57
3,5,0,0,0.0429375136167028,27.2688862852952,56
3,5,0,1,0.0617838914420509,25.0214336835216,57
3,5,1,0,0.0406708459509887,25.1838969890198,58
3,5,1,1,0.033675613078827,30.5794663576646,53
4,1,0,0,0.119895574393584,17.1897322210096,59
4,1,0,1,0.081045478836954,19.3131050566225,59
4,1,1,0,0.000136018413189898,16.8554519132821,60
4,1,1,1,0.039988063787839,13.9710603633427,60
4,5,0,0,0.000380305154114077,12.1908073579386,57
4,5,0,1,0.000116121193456684,12.3238355197426,60
4,5,1,0,0.000709227986851491,11.3296777780371,57
4,5,1,1,0.000229496002897832,13.8519678232867,55
5,1,0,0,0.0303187909364452,22.6751744453327,57
5,1,0,1,0.103425815021851,21.2431070742073,56
5,1,1,0,0.0669548506849542,20.2933774984429,54
5,1,1,1,0.0784274748045044,18.6537866746495,57
5,5,0,0,0.000516101388591551,22.9486248275685,59
5,5,0,1,0.0017012773378676,19.8335123558934,55
5,5,1,0,0.000381370130381174,19.5213679060945,55
5,5,1,1,0.000931811053261487,20.9880469324758,58
6,1,0,0,0.0975142427728376,21.0353517312946,57
6,1,0,1,0.180787964480874,26.5534053381649,59
