subject,repetition,g,SD,nTrials
1,1,0.430053417560184,26.4081457682038,235
1,2,0.245294936483641,25.2953395571094,229
1,3,0.256813045380081,22.186154026452,227
1,4,0.151602974779062,24.4373114166299,227
1,5,0.128569524833726,26.7746016571075,227
1,6,0.115621028308578,24.821229744526,220
2,1,0.174283802490359,13.548844566521,232
2,2,0.0251563969760016,12.3462375656357,230
2,3,0.0113017056606218,12.1749500439217,226
2,4,0.000146548284682579,11.8513253990544,223
2,5,0.0057766787515649,12.1144616694314,233
2,6,0.00817575076965095,11.7253183600189,223
3,1,0.223758816053783,28.1792035361139,228
3,2,0.0915986964380167,28.3708351725213,226
3,3,0.125078418234355,24.422050093583,227
3,4,0.0778226800217267,25.9922847098686,231
3,5,0.0448262980447419,27.0743641630984,224
3,6,0.106456716003852,23.4539768748386,231
4,1,0.0572329641952094,17.01083032144,238
4,2,4.71020783735961e-05,15.4687859546458,232
4,3,0.00597719393336788,14.3282862318666,228
4,4,9.51607088233017e-06,13.0983389269235,223
4,5,0.00018702023210801,12.4912649759939,229
4,6,8.93067663219086e-05,12.9612458399176,218
5,1,0.0721703487563592,20.5774055678102,224
5,2,0.00854495092991511,22.6799116438802,230
5,3,4.98402911989718e-05,22.3056261563656,229
5,4,0.00841202644229611,21.5963562807144,230
5,5,3.43477401076459e-05,20.9548667637975,227
5,6,0.00646844141114723,19.6048953177821,226
6,1,0.167426277596435,23.018553346644,232
6,2,0.0516031607637273,23.3376983666899,231
6,3,0.0204306522665852,21.5471626393876,225
6,4,0.00973442974649339,21.0479920370121,223
6,5,1.25574149236067e-05,23.421527461861,233
6,6,0.0063479157729607,20.7264200593202,224
7,1,0.0907222815472844,17.7866573389481,235
7,2,0.0332109336094575,15.9123155659208,231
7,3,8.04490953967988e-05,15.6765064936329,228
7,4,9.80562505659595e-05,15.9487453641308,224
7,5,0.00700922657102419,14.7069483152981,228
7,6,0.00927934616562216,14.8505102690132,222
8,1,0.125044830306942,19.7789146283792,233
8,2,0.0565535620601872,20.9789048882256,230
8,3,0.0437721754946784,23.7063573229312,224
8,4,0.0665846555912557,19.1898594830193,229
8,5,0.000707537365930523,23.5818865678503,227
8,6,0.0205599766755822,18.965796482095,225
9,1,0.0375276769806756,15.5894619012593,234
9,2,0.0253234831625921,16.2910142233087,225
9,3,0.018092414844081,13.538920874946,224
9,4,0.00146592060657485,14.9518715494187,227
9,5,0.0156735347975353,14.1781275898611,233
9,6,0.0001457888114376,14.5347531973584,225
11,1,3.02870475726719e-05,16.6912340838408,239
11,2,2.16286867241828e-06,13.3533126788509,226
11,3,0.00613110165579866,11.6195025013319,230
11,4,0.000157601128966323,11.7917904424404,222
11,5,0.000331876929651052,12.2048398498104,228
11,6,1.57369580538408e-05,11.9451581684593,223
12,1,0.140386787730995,21.4111184964758,227
12,2,0.0679474373933082,17.7694616286142,231
12,3,0.0367018320887842,18.3596073967787,223
12,4,0.0236050544524376,20.259314841554,227
