subject,repetition,context,interference,g,swap,SD,nTrials
1,1,0,0,0.0634501603682551,0.0015477237445514,27.1839070589022,23
1,1,1,0,0.298198033925855,0.000175877977094105,19.1785787512057,27
1,1,1,1,0.303460785586778,0.297276647912872,110186981.552678,23
1,5,0,0,0.150072948940037,0.00386939469327456,21.8278031394889,24
1,5,0,1,0.509337718467634,0.0013993805191554,38.6511198795928,23
1,5,1,0,0.289771858868784,0.00324644668012476,23.5042039211435,17
1,5,1,1,0.300049769080901,0.00401923804983647,32.96990447054,23
2,1,0,0,0.00350191662393637,0.000765320161688614,19.3736571490742,27
2,1,0,1,0.845407429457759,0.00247952726163991,0.863470326345331,25
2,1,1,0,0.113786218054878,0.000232635491105618,18.9186256986026,26
2,1,1,1,0.709834791586495,0.00154448907436671,18.0770197936396,26
2,5,0,0,0.0791357716925273,0.000449379784429885,13.3716810703686,24
2,5,0,1,0.227596951123559,0.00155853667384239,13.6287938120676,26
2,5,1,0,0.0489450670718512,0.000357713204510366,14.3358072367188,24
2,5,1,1,0.00914685098359123,0.00808886253131615,25.1892863648489,24
3,1,0,0,0.00777713299306973,0.000350712608345939,28.2384811073801,22
3,1,0,1,0.417198028059057,0.00529284570148414,33.7640130993667,27
3,1,1,0,0.00256009673446707,0.00124079583479794,19.6819392238084,23
3,1,1,1,0.368177106088923,0.0112200991880502,36.4253494987123,24
3,5,0,0,0.0485083676422196,0.000479772443077319,17.6549343485105,23
3,5,0,1,0.0605186789405159,0.00364955289676381,18.5867699363943,24
3,5,1,0,0.152469052214202,0.00225116499897252,14.346818843792,25
3,5,1,1,0.00757582907178277,0.000874684934354272,18.313158829641,24
4,1,0,0,0.000757344721746749,0.0015079958518433,25.2335387423538,28
4,1,0,1,0.222276563492791,0.00628007078977844,48.0607645486168,22
4,1,1,0,0.0458552996275037,0.00179930001212406,25.1726716755344,25
4,1,1,1,0.360283859399308,0.000944696079381123,23.5696123924619,21
4,5,0,0,0.00571380301557915,0.00406112624393489,18.6702939932347,27
4,5,0,1,0.10929868919591,0.000313258700928168,16.898952056446,24
4,5,1,0,0.00131130293004842,0.000590813535736989,24.6262460685996,22
4,5,1,1,0.00251775340011721,0.00192324434045091,19.0666351500457,20
5,1,0,0,0.00278065965929483,0.000594216076421133,16.3475442055869,21
5,1,0,1,0.58547727134637,0.00124205232497064,11.2880738603482,25
5,1,1,0,0.0422440038159106,0.000489938954460874,15.7101624607054,23
5,1,1,1,0.10150272439778,0.00504671050103865,19.4405306715907,16
5,5,0,0,0.00284351662683468,0.00141401649293242,11.772327402156,24
5,5,0,1,0.0055580938690981,0.00693197228357511,15.364616149583,25
5,5,1,0,0.00220437920846144,0.00133999246439007,13.1129434990236,24
5,5,1,1,0.000910940713717307,0.0010374245577364,13.9176939440626,24
6,1,0,0,0.00711839223232711,0.00383698174709821,25.8022553832943,24
6,1,0,1,0.0917784372741156,0.000146709024061958,27.2004425803625,25
6,1,1,0,0.0404776547280001,0.000443558607305336,21.6647594717649,23
6,1,1,1,0.136617347549895,0.0010572411299251,24.928500043379,23
6,5,0,0,0.00662389299143163,0.0105575415855233,14.1905387648023,22
6,5,0,1,0.00408444255189731,0.000656648673597063,16.3214671130476,23
6,5,1,0,0.00243736052746162,0.00461617487471124,11.5250513556844,23
6,5,1,1,0.1129314680337,9.65000753635915e-05,22.4179317577732,23
7,1,0,0,0.000978602265800675,0.00184058697246786,18.7907342958382,22
7,1,0,1,0.904182672395803,0.017678165173536,1.72943092676901,28
7,1,1,0,0.0357314555352696,0.00342795308016425,20.2602245511964,19
7,1,1,1,0.684478032534823,0.00644435987878664,27.9789878591484,27
7,5,0,0,0.0102985098678965,0.000180881667092996,18.4220018207848,27
7,5,0,1,0.163078996744593,0.00308972783168312,6.90639859545026,21
7,5,1,0,0.00732337568290414,4.9337186343509e-05,14.7806253846116,25
7,5,1,1,0.000260643653183325,0.00680725914401821,20.6391052706134,26
8,1,0,0,0.0514199674004546,0.00037473052051841,18.3224231931157,24
8,1,0,1,0.247971357703385,0.138503486509074,118.306826566137,23
8,1,1,0,0.00183372686022362,0.00429584251005712,13.7365518099903,23
8,1,1,1,0.405617285825492,0.00750469698327563,29.0253271219516,21
8,5,0,0,0.0657670557603857,0.0012063263609945,11.4685630709427,25
8,5,0,1,0.0041635219176337,0.00275859687102081,14.6017688693164,19
8,5,1,0,0.00134133835854876,4.68470159640895e-05,21.1381774417782,25
8,5,1,1,0.00152977252196572,0.0015027107569167,22.1022883726219,25
9,1,0,0,0.00259782979403697,0.0014418894083262,27.8273770475588,27
9,1,1,0,0.099162272916438,0.00416650209928533,29.1507633579427,24
9,1,1,1,0.644551750441587,0.00139237546400184,21.0421277614136,23
9,5,0,0,0.0934786279667484,0.00613704734628813,26.7413947863798,21
9,5,0,1,0.0553671994291678,0.0022239836552468,20.6936774319183,25
9,5,1,0,0.0348496617708424,0.00146384077854305,24.9706342590208,28
9,5,1,1,0.00369103996863935,0.0059691556876796,30.0253113577047,21
10,1,0,0,0.227077861166964,0.00487081175785234,23.5154734518183,28
10,1,0,1,0.789669738883849,0.00439903210171817,42.5228588043424,25
10,1,1,0,0.163074079882335,0.00273440211064973,23.1853059314035,22
10,1,1,1,0.764635019136526,0.0614107222651019,465.33102707895,24
10,5,0,0,0.0605205504469884,0.00108254556789999,17.6135533776809,28
10,5,0,1,0.437433180563031,0.00578367080277697,20.3929832516122,22
10,5,1,0,0.0013949367192499,0.00108531070012554,23.3239418774148,22
10,5,1,1,0.174718806181478,0.00417928443987723,14.634127624726,21
11,1,0,0,0.066146915479881,0.000997647178162427,20.8249782594164,22
11,1,0,1,0.217380040736281,0.289420234928415,94.0167154007673,28
11,1,1,0,0.0848348804987061,4.30488167176349e-05,22.4048921164938,24
11,1,1,1,0.645701370587593,0.193946241230975,75352.3496954345,24
11,5,0,0,0.0306665963504628,0.00268495188456012,16.8741213909047,23
11,5,0,1,0.118994994617151,0.000877811138506089,26.6101489148626,25
11,5,1,0,0.0201805906971664,0.00145205233658583,23.3939020444804,23
11,5,1,1,0.0733664103528513,0.0018309617444403,32.2144675898476,22
13,1,0,0,0.0753201892844887,0.00200720796999306,13.5217985399395,23
13,1,0,1,0.477743797553458,0.00269287121668346,20.5387597334147,21
13,1,1,0,0.000914903822209373,0.00933093102745644,16.0999588598616,26
13,1,1,1,0.282994005033148,0.00283033602376704,21.1063707037864,23
13,5,0,0,0.00543376674591631,0.00184165928434026,15.1028685100571,25
13,5,0,1,0.000261211184834347,0.0117216710603032,14.9368720446048,21
13,5,1,0,0.0813312760835247,0.000187960635542626,12.2133279129444,24
13,5,1,1,0.00415348576991962,7.54522222349268e-05,18.170445692422,22
14,1,0,0,0.088972954605078,0.00244371803916978,31.3315583998374,25
14,1,1,0,0.00189092978893151,0.0018173679609606,39.2598582574528,24
14,1,1,1,0.272465346911033,0.00570918421677711,46.6638334334514,26
14,5,0,0,0.224956328457662,0.000725676810841549,22.0372646404701,23
14,5,0,1,0.677611967361123,0.0005292948673928,15.6288408510168,23
14,5,1,0,0.223487916348746,7.28286712193341e-05,24.7131076551782,24
14,5,1,1,0.244552114062877,0.00855008493264499,28.1577962591687,21
15,1,0,0,0.0947498094118678,0.000329982119661964,18.7311522042755,22
15,1,0,1,0.0739889619609465,0.0025892681699308,62.701613906214,25
15,1,1,0,0.168061950859677,0.00296830109209101,13.5124694520988,24
15,1,1,1,0.190374801830918,0.790749722513051,12733757166.5621,21
15,5,0,0,0.094956241985619,0.00124263564963268,22.1888388019905,24
15,5,0,1,0.0133890709958842,0.0286677005329581,25.4053088408261,23
15,5,1,0,0.126599028601896,0.0020666952688961,18.5743949839489,22
15,5,1,1,0.00123133368979878,0.000219000556210018,18.3917787805815,24
16,1,0,0,0.00124118051611329,0.00198917962920754,13.7661820252919,26
16,1,1,0,0.00318806968849796,0.00263428666604898,32.7683480676371,24
16,5,0,0,0.0109255492611813,0.00256573556990332,19.6862915308547,23
16,5,0,1,0.224026261817081,0.00101480583728996,19.0714504616311,25
16,5,1,0,0.0555204781339938,0.0021685845875014,21.8482830066366,27
16,5,1,1,0.239897511141947,0.00186736611384034,23.6131812232873,24
17,1,0,0,0.18223808473972,3.25674968595698e-05,31.0036372409269,21
17,1,0,1,0.346639757503796,0.000337783715091277,34.9394584581621,25
17,1,1,0,0.0202683191127917,0.00139499504615412,30.2603340710099,26
17,1,1,1,0.315557968992967,0.640332990595481,3391179.96598926,25
17,5,0,0,0.000284534870057667,0.00156542605974754,14.6999144698162,28
17,5,0,1,0.00481555158500366,0.0120064176571687,17.9130383802564,23
17,5,1,0,0.0131994579020142,9.53985937453411e-05,18.6844724950225,24
17,5,1,1,0.000578370445998472,0.00477673203095654,21.0466696475283,25
18,1,0,0,0.0843963887518498,0.00153252055801824,17.2414832500937,25
18,1,0,1,0.237251669083321,0.0130260880448517,79.9211955165372,19
18,1,1,0,0.145015373664121,0.00248000366155721,16.8135701712788,27
18,1,1,1,0.0744037413515158,0.178054986493707,210141313.079201,18
18,5,0,0,0.00381952195653166,8.61367624159018e-05,15.8502064312303,26
18,5,0,1,0.00510467122226155,0.00551670057665544,14.2783333543674,24
18,5,1,0,0.00717854411745364,0.00224631493319876,17.6534215844813,27
18,5,1,1,0.00153119741290818,0.00479116976636741,16.5095289998916,24
19,1,0,0,0.0652912335630999,0.0019893328250665,17.8679270122277,23
19,1,0,1,0.267526077602785,0.0012473039866006,32.296747898075,24
19,1,1,0,0.0491779787079135,0.000761920992702,27.7145973473397,26
19,1,1,1,0.484497747047155,0.00444651123720043,25.9162513480747,21
19,5,0,0,0.147328062899445,0.00145172349096755,16.5847365756402,20
19,5,0,1,0.272070532665807,0.00202545716885635,13.7187783367671,22
19,5,1,0,0.152440386355938,0.00153151207167108,16.83149416801,23
19,5,1,1,0.328565475166311,0.00120542661411582,14.577132368403,21
20,1,0,0,0.0162999386404096,0.00355053690088738,23.2912545976545,27
20,1,0,1,0.726283803406088,0.0019836786646175,16.2673266783141,27
20,1,1,0,0.00330391128189834,0.000813490477955044,30.4640575946611,26
20,1,1,1,0.449553243766692,0.00693773233178649,91.3728210886725,23
20,5,0,0,0.00074159273095128,8.66953883779911e-05,12.6672281438212,26
20,5,0,1,0.00168881140089749,0.00220690875308286,12.8020339097385,23
20,5,1,0,0.00850785360599158,0.00207915953359938,15.5929328376799,28
20,5,1,1,0.00731386808771321,0.000625963735026307,16.8101787580467,21
21,1,0,0,0.000580491327491433,0.00645464590310499,17.6959541172339,25
21,1,0,1,0.586380844507164,0.000660627845937639,21.5989239132269,25
21,1,1,0,0.0519520731361767,0.00129205696661785,16.2970083344748,26
21,1,1,1,0.311829604136898,0.000651621295366858,27.3347910164357,24
21,5,0,0,0.0149783989295233,3.66474872167399e-05,13.4714671931112,25
21,5,0,1,0.00426843369341257,0.00112170141824119,12.119639138739,24
21,5,1,0,0.00315949484826465,0.000113167542742265,13.4538725889895,24
21,5,1,1,0.058707735551923,0.00150569830963968,12.1272845836902,23
22,1,0,0,0.0189623339979087,0.000897358924884213,21.0834420510507,22
22,1,0,1,0.534496078144424,0.00132280713454265,16.1847642002692,27
22,1,1,0,0.00573094378758468,0.000651408948570735,28.8495570293148,23
22,5,0,0,0.170793878232501,0.00149861634471518,13.8569303896538,22
22,5,0,1,0.0823320184274498,0.00246237533516304,21.6476354347975,22
22,5,1,0,0.0113199695109899,0.000263202901862477,14.3247695362723,25
22,5,1,1,0.00441965154852517,0.00679698299642865,23.3441507941813,24
23,1,0,0,0.14827080756469,0.00595276259082337,22.5644402470919,22
23,1,0,1,0.579768520390585,0.00719456099302869,21.847906088175,25
23,1,1,0,0.0753262957337527,0.0250197202561904,20.6458363193595,25
23,1,1,1,0.175514437102268,0.132434316614503,55381.6441133117,23
23,5,0,0,0.00216045708199339,0.00426566464137525,21.7678666707425,26
23,5,0,1,0.0690377220737146,0.000179994085635485,23.1884998230053,22
23,5,1,0,0.0008859895169376,0.00716817049860766,18.5769284380542,22
23,5,1,1,0.234028837129058,0.00152860680899052,18.2961525064275,23
24,1,0,0,0.126755529184812,0.00335160470948738,16.117897706272,22
24,1,0,1,0.487553195916544,0.00138925546936835,31.2411944953477,25
24,1,1,0,0.174688108341582,0.00161793178198995,22.4424306147352,24
24,1,1,1,0.490266856543308,0.0332193639081094,3640535431.68135,25
