subject,repetition,g,swap,SD,nTrials
1,1,0.380218394290467,0.000326387216464708,30.8750660957058,97
1,2,0.156537607752331,0.000223632836529455,27.2510849346141,96
1,3,0.202949671078103,0.000416644345684728,23.4112005390429,91
1,4,0.279800293895029,0.000483369823782671,18.2441700763946,94
1,5,0.343413667136061,0.000988389698345669,27.0804851826276,87
1,6,0.115772896596721,0.000200505486298921,28.5006271767599,93
2,1,0.413800858137192,0.000122063439024387,17.9804393267509,104
2,2,0.0022908290962207,0.000610292191032073,21.8074698175128,101
2,3,0.0791039789978101,0.000215212588256995,16.396819688136,104
2,4,0.0131767963011728,0.000522734744747771,13.7899400320978,103
2,5,0.120578687103469,0.000240257678297899,16.0965571136986,98
2,6,0.00207729079492994,0.000715775590192355,16.7998657724879,104
3,1,0.224839580107213,9.95838120503923e-05,26.5575840345026,96
3,2,0.0459871526647325,0.000135865933980652,18.8667800855631,101
3,3,0.055717198506824,0.000241056458874411,15.6400861232595,104
3,4,0.052348655303468,0.000161254380761736,14.7137228223,96
3,5,0.0661416318041369,0.000136868709486326,17.6133313167229,96
3,6,0.0196423019326236,0.00103093283708515,17.1680006526316,98
4,1,0.207950747874615,0.000261820421675893,26.4542128108731,96
4,2,0.0723030710897662,0.000286367743288781,19.7305538357846,96
4,3,0.0405039004850462,3.68151334549135e-05,19.3791330623323,94
4,4,0.0859237966486064,1.99556641723216e-05,16.3434538973115,93
4,5,0.0357946163754978,0.000205149602145857,18.9946801859291,93
4,6,0.0149110085595034,7.94199152307226e-05,17.3547690966314,97
5,1,0.180811683584806,0.000485231977127914,16.3714412953077,85
5,2,0.000118492146613801,0.000458882037729747,15.1422286641808,99
5,3,0.00234380664027802,0.000339762276735261,15.6232473564462,94
5,4,0.00168531814341508,6.65397089854853e-05,13.561281390423,99
5,5,0.000524072868745042,0.000371440472118962,14.0618522547545,97
5,6,0.000952923708174908,0.00154909678399179,12.9818956524015,96
6,1,0.0853892418837115,0.000127143124799313,25.5915529697041,95
6,2,0.0400106939428209,0.000646277933002382,20.2460276191982,97
