subject,repetition,context,probe,g,swap,SD,nTrials
1,1,0,1,0.68515929594844,0.0129091314316291,21.0743095374429,44
1,1,1,1,0.334907926295612,0.00125602791092028,26.1222912229229,43
1,5,0,1,0.225618825225298,0.00461251618097448,29.493045078914,45
1,5,1,1,0.250386815991013,0.000111338374298581,25.6680307724187,44
1,1,0,2,0.166201263137855,0.00482969931692274,30.3886992388867,30
1,1,1,2,0.612282200331006,0.0010543187074511,9.68623290180863,30
1,5,0,2,0.313751407203945,0.0019718369090796,21.4591844974351,30
1,5,1,2,0.466696035997796,0.00422120724726366,14.408720925492,30
2,1,0,1,0.271100254905692,0.00821140539635044,43.3347426871473,45
2,1,1,1,0.461145632210975,0.002941827312075,13.7072656913489,45
2,5,0,1,0.13862912937647,0.000732126163709115,17.5390998534981,44
2,5,1,1,0.0928816527857219,0.00256300219735051,25.3348297947856,44
2,1,0,2,0.060196204456737,0.000170826760192429,67.1421746975057,29
2,1,1,2,0.295784797405566,0.00161143932022191,31.3925537654766,30
2,5,0,2,0.0179397248396044,0.00440644619909342,57.7848789346609,30
2,5,1,2,0.24279293690595,0.00370526806658426,24.2141245172899,30
3,1,0,1,0.15074747751242,0.000321378192536724,22.7700967629078,44
3,1,1,1,0.298446007555378,0.00300470045149649,16.8662467115407,45
3,5,0,1,0.00188287170921551,0.00184878955033166,19.0641695248946,45
3,5,1,1,0.0243394026088515,0.00111663732048756,21.3109054684348,45
3,1,0,2,0.370146820215301,0.000321793366278897,12.9951860427381,30
3,1,1,2,0.315132999666723,0.00209541234646609,18.1558444067269,30
3,5,0,2,0.0138161745861001,0.000332526996305262,23.6751435452356,30
3,5,1,2,0.17456866020214,0.000880224364302217,18.5196359912243,30
4,1,0,1,0.303870008869036,0.000438688033493154,34.3521739430427,38
4,1,1,1,0.438720471300176,0.000678643039964635,28.0615108820886,40
4,5,0,1,0.138849193119203,0.00133720935287822,21.1689095445066,42
4,5,1,1,0.185612885912932,0.000299572683074192,20.529258168372,41
4,1,0,2,0.512696974012745,0.00785313904142385,13.3457261563188,22
4,1,1,2,0.277298833782081,0.00621285399127689,17.5130230118837,20
4,5,0,2,0.353386983530514,0.00449741767393494,10.8270031347586,26
4,5,1,2,0.168376934651898,0.00296378483500889,21.4729907784647,29
5,1,0,1,0.500568826840494,3.74580945223016e-05,7.86279294932531,40
5,1,1,1,0.241406604575253,0.000542515848589477,16.6008110946574,39
5,5,0,1,0.00183050665019652,0.00145603168661484,23.3823186588723,43
5,5,1,1,6.02207331665685e-05,0.0024015292392237,15.0603321276114,40
5,1,0,2,0.00649920658113662,0.00794594121257703,39.0478153524341,26
5,1,1,2,0.16823935639126,0.00164513092219149,19.2998351751076,28
5,5,0,2,0.0443181473633615,0.00380493720827709,18.1535802087928,28
5,5,1,2,0.335462044977818,0.000605267713717535,19.545394493946,29
6,1,0,1,0.121905978902047,5.02551814136241e-05,22.7377419481764,45
6,1,1,1,0.0489140811515583,0.00139288966050742,33.6127014357036,45
6,5,0,1,0.127083968916158,0.000287225583128138,23.8576081642276,44
6,5,1,1,0.0838641555111826,0.00322074449147168,18.9178172523743,44
6,1,0,2,0.206279238601105,0.00288592098838604,31.926182259559,30
6,1,1,2,0.265257117401824,0.000100044777524497,24.5823508261314,30
6,5,0,2,0.0184479373768011,0.0109537007043023,28.7982132366944,30
6,5,1,2,0.0520841419411079,0.00108653129160523,27.364469264491,29
7,1,0,1,0.506325037953136,0.00530371886387666,21.9565235067042,45
7,1,1,1,0.254997283798852,0.000662049108891708,25.3871574920758,45
7,5,0,1,0.137804460831712,0.0023912029313772,35.1257909100981,45
7,5,1,1,0.00331505409714144,0.00468986938372222,37.2540671977148,45
7,1,0,2,0.368835540082049,1.38047610723849e-05,37.0274773398628,30
7,1,1,2,0.395128683230862,0.00245674582597548,19.1835272426978,30
7,5,0,2,0.0592599112316123,0.000748341978966072,36.4561418853186,29
7,5,1,2,0.454616368791257,0.000293325264122749,11.4650000378686,30
9,1,0,1,0.0200121595880926,0.00798041046902557,49.9545427234952,45
9,1,1,1,0.294510078776151,0.000272967256075985,25.9008610360715,45
9,5,0,1,0.137127486462992,0.00201505259492405,22.0951997424877,45
9,5,1,1,0.135848333036972,0.000372798813091456,24.8914700678398,44
9,1,0,2,0.315829746943578,0.00156374439594862,41.8685134324497,29
9,1,1,2,0.174771277531621,0.00203278740215875,39.4631015498105,29
9,5,0,2,0.000125823288700085,0.00225816589433939,18.6750998371626,30
9,5,1,2,0.134673423419929,0.00124621070015374,19.3328778544621,30
10,1,0,1,0.0664310980132803,0.0185607223221516,66.8351030086432,45
10,1,1,1,0.431362589455685,0.00117689652132324,39.9924968727944,45
10,5,0,1,0.00490538533959243,0.026298087957176,47.5907448111057,45
10,5,1,1,0.136617351943056,0.00161821052271622,25.8429397012143,45
10,1,0,2,0.0602409497936933,0.00502531969267761,71.3329942536379,30
10,1,1,2,0.37999849962013,0.00468408161002783,29.6596432022683,30
10,5,0,2,0.0401091278958669,8.50632890053889e-05,30.7911469412143,30
10,5,1,2,0.233075129603047,0.00107426752448724,32.3493942955876,30
11,1,0,1,0.291065629519856,0.00526614167092005,23.1541568293257,43
11,1,1,1,0.177388005262498,0.00216692027153955,32.2822264678271,44
11,5,0,1,0.00442109153164751,0.000694093165075811,23.3412636066962,45
11,5,1,1,0.0534105866126701,0.000247501644311562,38.4454425171058,45
11,1,0,2,0.112687547219918,0.00220925663824508,27.4669776912812,30
11,1,1,2,0.153061532464382,0.000235691404718014,26.6689329590884,30
11,5,0,2,0.100371783831884,0.00182518492248181,17.6794007228415,30
11,5,1,2,0.123355708559547,0.00374248723259274,31.6212519978894,30
13,1,0,1,0.582915662389105,0.00325229003995415,23.2706859072304,45
13,1,1,1,0.497230640503045,0.000340409808976974,24.4672363934654,45
13,5,0,1,0.126068469074626,0.00116892102378793,41.8206706083907,45
13,5,1,1,0.282665669884023,0.00163352951123505,35.6649701596401,45
13,1,0,2,0.35337209015117,0.00176630775048789,23.5711253806054,29
13,1,1,2,0.475899681907436,0.000729857926647898,25.2116087718895,30
13,5,0,2,0.39151215456806,0.00219932576201148,40.0020673099085,30
13,5,1,2,0.111284428217637,0.00335756530623085,24.5706733098204,30
14,1,0,1,0.329332851119704,0.00439457739125906,25.7044071142593,45
14,1,1,1,0.198904109523413,0.00211501461470783,25.9499477422745,44
14,5,0,1,0.104714106550721,0.00207600132346974,32.7955320260176,41
14,5,1,1,0.184194530464118,0.00151083511401267,25.4110663817569,44
14,1,0,2,0.503710673087271,0.00275561848708572,26.6745473126897,28
14,1,1,2,0.206638690682934,0.000223995497509439,21.2696880960115,30
14,5,0,2,0.02165322631082,0.00122691926971649,28.6459626115449,30
14,5,1,2,0.344594347696502,0.00196868025511948,7.4214373432548,28
15,1,0,1,0.239652904625339,0.000102658775768981,23.202116817115,45
15,1,1,1,0.129159123145467,0.000290803055775057,28.9958227576541,44
15,5,0,1,0.148167230566746,0.00270140499759552,24.30726877734,45
15,5,1,1,0.0674804521246483,0.00190382052879242,32.5392611574057,44
15,1,0,2,0.415007626423043,2.42058462634441e-05,24.9881149167181,30
15,1,1,2,0.31517078171715,0.00190135168786261,15.7095284573909,30
15,5,0,2,0.0210266836389103,0.00179287298793577,25.0975635208479,30
15,5,1,2,0.173977735096911,0.000858071210075889,25.8045121883745,30
16,1,0,1,0.408068840809404,0.00118390411621221,41.3317760274464,45
16,1,1,1,0.280711702131742,0.00308649702384794,33.558452142387,45
16,5,0,1,0.382670039652168,0.000679783808210783,18.4101784662476,45
16,5,1,1,0.21856026701496,0.0026275269650534,24.3880412472488,45
16,1,0,2,0.0636016457001978,0.00183311673754199,45.7786753945147,30
16,1,1,2,0.394580543074677,0.000762162300486823,24.0108609675114,30
16,5,0,2,0.413622172214702,0.00189512428722429,13.8469140832285,30
16,5,1,2,0.181843601731538,0.00199763334852304,31.6373885844147,30
18,1,0,1,0.0728122635795568,0.000880889675591906,47.4149551829947,45
18,1,1,1,0.286622464686677,0.00322961182948138,30.8363853986516,45
18,5,0,1,0.121989338767536,0.00416853978479581,35.2231385755305,44
18,5,1,1,0.237663623537609,0.00259949319303213,32.6889690971037,42
18,1,0,2,0.318367618622922,0.00227642494510591,34.4739765823893,29
18,1,1,2,0.271125788984817,0.00236786395266099,33.2792843074194,29
18,5,0,2,0.300242060884716,0.0018065534350094,26.9697723427998,30
18,5,1,2,0.358904376697493,0.00378612864930106,15.8192170875935,29
19,1,0,1,0.208375118268973,0.003640095745931,29.4290049402386,45
19,1,1,1,0.301241859571278,0.00180980436130107,25.5428601233503,45
19,5,0,1,0.0974663939196191,0.00745154684045667,29.1539032502314,42
19,5,1,1,0.00983948699416956,0.00193574284251423,23.8210497708501,45
19,1,0,2,0.298777858512815,0.000996685566774191,21.1248018115132,29
19,1,1,2,0.213644872674434,3.66214963596033e-05,25.969418700062,30
19,5,0,2,0.24517129515271,0.000618393718960053,15.6615461953167,30
19,5,1,2,0.249334909564823,0.0132089538628906,28.2380337647474,30
20,1,0,1,0.456302566447324,0.000386457395914629,30.7273743534619,45
20,1,1,1,0.467619735501453,0.0025341943763309,23.1441964464066,44
20,5,0,1,0.145780115598554,0.00155379471254323,25.2875145512397,44
