subject,repetition,g,SD,nTrials
1,1,0.387562290730519,29.4368223523263,97
1,2,0.172434999144774,27.068825623486,96
1,3,0.199136804079831,23.7520662539896,91
1,4,0.296076015891466,18.1963603942133,94
1,5,0.31834500969562,26.6231042505319,87
1,6,0.11205996203426,28.2018284963607,93
2,1,0.41199920393922,17.3402692948784,104
2,2,0.000433615799334294,21.9240878710277,101
2,3,0.0734208658089262,16.5903620128616,104
2,4,0.0129677571216022,13.8257141658923,103
2,5,0.116867589619462,16.1816969885617,98
2,6,0.00013054116766833,16.8612003227232,104
3,1,0.232554479937386,26.823916860072,96
3,2,0.0437054220566754,19.3134839602165,101
3,3,0.0575963335963624,15.9881695079946,104
3,4,0.0554132366562803,14.7700300386741,96
3,5,0.0615595891176719,17.6823222554728,96
3,6,0.0172293062976836,17.0456916140499,98
4,1,0.205160351583841,26.3264110286505,96
4,2,0.0697542332938832,19.9527695571888,96
4,3,0.0379308108629778,19.1477938575427,94
4,4,0.0766192779748845,17.096068370346,93
4,5,0.0315996209748195,19.7029167763992,93
4,6,0.0179315981147848,17.4833993086331,97
5,1,0.196286540179251,15.8986575954154,85
5,2,0.000309356198058357,15.0663797924287,99
5,3,0.000153570327646082,15.7019784529555,94
5,4,5.0822300558858e-05,13.4529962774069,99
5,5,0.000526985780070441,13.5637628900276,97
5,6,0.000133421952814333,12.6641863264262,96
6,1,0.083296204552895,24.8264512520099,95
6,2,0.0372230206000632,20.0904163843145,97
6,3,0.0804793298911706,14.4025365962854,97
6,4,9.24814402905871e-05,16.9097132472067,93
6,5,0.0398496358501239,16.6432214151936,91
6,6,0.0636138904380582,12.2027664361084,94
7,1,0.466406560669118,18.4438387299838,96
7,2,0.00527050011583646,20.8519078569711,101
7,3,0.0520968044501598,16.5277906525542,104
7,4,0.000929498575775416,18.338674787804,100
7,5,0.030133080222896,15.8398890957561,99
7,6,0.000160229609969211,17.6150644375025,104
8,1,0.291018053735226,17.2799303420318,91
8,2,0.0325111310037678,15.3399610658541,95
8,3,0.000512449589979005,16.1460372711732,94
8,4,0.00204623583288369,17.3244805885329,98
8,5,0.0162813578404988,16.6444098940978,94
8,6,0.000586060901210607,15.1323251403669,97
9,1,0.335747499917359,28.4359055913534,96
9,2,0.0596282550735124,28.5389102892744,101
9,3,0.0178770715170453,26.033318257489,99
9,4,0.0919055885342627,23.0655864799889,101
9,5,0.0313383971951008,26.26069939306,95
9,6,0.044362263129966,28.8603753875519,95
10,1,0.5752034256781,23.9724741480905,99
10,2,0.000421765666563949,24.777398800972,95
10,3,0.0321293764896484,21.2219003538912,97
10,4,0.0400735498649604,17.7590146525661,93
10,5,0.162361372707293,18.2910372659712,93
10,6,0.0423362590429742,18.2422317827614,98
11,1,0.460772024112385,24.1243141539367,98
11,2,0.00019910557734551,26.3590046235307,97
11,3,0.000443959923554789,25.2207606709737,95
11,4,0.0330071744528973,22.6002184357033,94
11,5,0.0605061338897375,25.1541937620568,93
11,6,0.00100942171969219,23.8381045029341,93
13,1,0.193063842828576,16.7648785584995,93
13,2,0.0159072216900587,14.7914643596663,102
13,3,0.0150815872922869,14.6110327117349,98
13,4,0.000144684795276039,13.8878451165539,98
13,5,0.0171531473844591,15.7432970278332,92
13,6,3.28416938914628e-05,13.2187537412657,98
14,1,0.222073642828811,43.0577651383571,101
14,2,0.0555814293362134,26.1664563034431,100
14,3,0.156385532870551,29.1116925881139,97
