subject,repetition,context,interference,g,SD,nTrials
1,1,0,0,0.000224947295690038,19.0966783802238,31
1,1,0,1,0.121335529691693,20.1393246584683,28
1,1,1,0,0.000592577821525907,21.7391487973942,24
1,1,1,1,0.138555741309132,21.5147633164784,31
1,5,0,0,0.000316578216966685,10.9938499104196,26
1,5,0,1,0.000853335754323257,17.2944250970233,26
1,5,1,0,0.0471491182130723,10.1891666530501,32
1,5,1,1,0.046164660211873,12.3696077638571,28
2,1,0,0,0.000167728453408493,18.3078269452765,26
2,1,0,1,0.213882292662298,20.0598638791967,23
2,1,1,0,0.060603623989738,15.3318319238765,39
2,1,1,1,0.133698431123835,33.1273935099048,27
2,5,0,0,0.0434588654681521,17.5420083606611,33
2,5,0,1,5.22466818721739e-05,16.2495010485065,27
2,5,1,0,0.00114909269775381,14.1954172172783,19
2,5,1,1,0.0692184353104946,12.8056725196071,32
3,1,0,0,0.0340457840382467,15.5672347100739,34
3,1,0,1,0.133779305899749,12.7230063522922,24
3,1,1,0,0.000799103081021463,19.1340390134697,25
3,1,1,1,0.183905271316976,19.1019849409992,30
3,5,0,0,0.0527543020571953,13.4155581906306,25
3,5,0,1,0.0595126259657415,20.5457704803577,29
3,5,1,0,0.0360704507263889,9.80695041156972,33
3,5,1,1,0.000483210498792831,13.3633171927595,24
4,1,0,0,0.00019498896182208,14.2122192687687,30
4,1,0,1,0.135976898928728,17.2796145687387,31
4,1,1,0,0.00330956005280945,14.6746738037732,29
4,1,1,1,0.19948224790225,20.7865072418156,27
4,5,0,0,0.000215111894322163,16.8954684945454,29
4,5,0,1,0.00153151945294389,20.8839391642751,25
4,5,1,0,0.000667070115487608,14.6876616570377,30
4,5,1,1,0.000311625570278942,11.3716090873414,31
5,1,0,0,0.00200490124495323,27.3367234013732,26
5,1,0,1,0.0970934871741017,23.5805175893235,37
5,1,1,0,0.00114348970712557,20.4926874066239,25
5,1,1,1,0.00469995526037262,44.7941013854993,29
5,5,0,0,0.000171609460531609,26.9470738883735,31
5,5,0,1,0.000164610450758952,31.2221144465822,21
5,5,1,0,0.0347833827573642,13.4833678384132,30
5,5,1,1,0.049627668699771,34.341851340188,28
6,1,0,0,0.000938174761762969,14.0264323412895,23
6,1,0,1,0.0883207128616057,14.7611008908599,29
6,1,1,0,0.00174050778490832,17.4061086079637,34
6,1,1,1,0.0962098093014657,17.1164879279821,28
6,5,0,0,0.00043516181029379,9.28290480523064,33
6,5,0,1,0.000286679544657917,9.8275338453708,28
6,5,1,0,0.000689026410020471,10.3379351198743,23
6,5,1,1,0.000255342094438511,13.7840456181768,28
7,1,0,0,0.0462101473639561,22.7832002077886,36
7,1,0,1,0.460651083288675,26.1613649327956,31
7,1,1,0,0.000873231616422096,24.2674253517537,28
7,1,1,1,0.287329290452012,33.2495622142132,23
7,5,0,0,0.000122267300076084,22.0612766214639,23
7,5,0,1,0.122268692574053,26.3658796213193,27
7,5,1,0,0.0834173751085695,18.0675217090187,31
7,5,1,1,0.0014075452714661,25.7195519598392,33
8,1,0,0,0.159606925968203,14.7808144787054,32
8,1,0,1,0.108054316226103,33.1097907412911,30
8,1,1,0,0.0936004237907764,15.4086829088478,27
8,1,1,1,0.167745551862803,26.3143444816857,27
8,5,0,0,0.00123985108490973,13.7149293872263,26
8,5,0,1,0.000270776239469174,13.3764796874656,25
8,5,1,0,0.000742306371561292,14.8339521766803,27
8,5,1,1,0.000517184476342528,16.7901012850211,29
9,1,0,0,0.0432256593702535,14.6648759624826,30
9,1,0,1,0.00767883091335875,38.6101149477551,26
9,1,1,0,1.37066664756061e-05,23.6119029530797,32
9,1,1,1,0.107743206847599,26.7370036731352,28
9,5,0,0,0.0443287506837322,10.2580340864551,28
9,5,0,1,0.052795325659534,15.7676986197512,29
9,5,1,0,0.00232534305489853,11.0131916123818,25
9,5,1,1,0.00158929685215166,18.3183546493131,27
10,1,0,0,0.000804445131341085,17.1397316151979,34
10,1,0,1,0.00029942524607984,19.2968306404878,31
10,1,1,0,0.000829572233543296,28.4599526751093,26
10,1,1,1,0.00569172470691322,29.9172748734498,22
10,5,0,0,0.000226149861335547,14.3976612756545,22
10,5,0,1,0.000443292697446538,19.0280608358726,27
10,5,1,0,0.000474983754853598,15.4862272192694,30
10,5,1,1,0.0712004335417163,13.0072607603864,35
11,1,0,0,0.0244078029485899,22.9993614944344,32
11,1,0,1,0.220767246388494,23.5780390674536,30
11,1,1,0,0.000249836923925766,19.6027257660272,30
11,1,1,1,0.119567130725009,28.3721973110152,28
11,5,0,0,0.04253806854237,10.7913188786539,27
11,5,0,1,0.00495228268229635,14.18265730837,28
11,5,1,0,0.000421797470533422,9.68607342156066,28
11,5,1,1,0.000290345315279082,15.039860239839,30
12,1,0,0,0.163468226754587,13.5044930560412,29
12,1,0,1,0.099006047359176,13.2981929533908,30
12,1,1,0,0.000761670591656955,14.563912811451,27
