subject,repetition,g,SD,nTrials
1,1,0.0721760713975812,20.620322776847,114
1,2,0.0230471825873707,14.6287992984085,112
1,3,0.000239716395144071,15.1408558656778,115
1,4,0.012312946256942,13.5261927795163,113
1,5,0.0267574791555855,12.9682544671995,112
1,6,0.0112646007381231,13.8780397130223,118
2,1,0.0857021659075686,21.9838121323903,115
2,2,0.016267917408451,16.1896515232535,117
2,3,3.32877669508309e-05,15.92463845655,115
2,4,0.000383089606518804,17.887286087247,106
2,5,0.0299328441470314,15.4949245983755,111
2,6,0.000183576347192819,14.911129801561,118
3,1,0.0918734820224169,16.306685263489,113
3,2,0.0121835532188397,15.9642694757245,116
3,3,0.0171368896193145,14.1225527526996,114
3,4,0.000408859298010974,11.8408681244015,116
3,5,0.0361772597219975,14.2979654380208,111
3,6,0.000256649938391153,12.7892988587547,113
4,1,0.0837063387959912,16.363725446028,117
4,2,0.0338904581446172,11.3369924952569,115
4,3,0.0120472874160934,13.4230520673965,117
4,4,0.0475218132613983,11.0364810239868,110
4,5,4.66763859038322e-05,16.0514495316081,115
4,6,0.0118948046411751,13.7122309477587,110
5,1,0.0794681153994968,25.6181291588855,117
5,2,0.000715161283094345,24.4472933344415,113
5,3,0.0266892940652616,23.6504225170531,116
5,4,6.56637691519267e-05,23.8407449373564,112
5,5,0.016337336881391,26.7583650106777,110
5,6,0.000222735378735539,23.2505068863297,115
6,1,0.048720356305372,15.8868683080844,114
6,2,5.30240036574607e-05,12.0434109092946,115
6,3,0.0149714850601832,9.95820612636172,118
6,4,0.000125541967829367,12.623356615279,112
6,5,1.8790664860595e-05,10.8729859743978,112
6,6,0.000248647954495932,10.9704607989823,111
7,1,0.205306996779359,24.3561047280824,118
7,2,0.0781487310788326,22.9939930399936,113
7,3,5.84700921720527e-05,22.4381430142712,113
7,4,5.03971451617721e-05,24.9189492962472,114
7,5,0.0522553842398709,22.6754480800139,114
7,6,1.16383863776152e-05,26.8647463168995,112
8,1,0.1728606103934,20.3242071477479,116
8,2,0.0298437596789282,13.1969093684431,116
8,3,0.0120652087603775,15.0012108861655,113
8,4,0.000416570279747003,14.0307081851958,114
8,5,6.26541308349567e-05,14.9409869485012,107
8,6,0.000156233248691027,14.4585486807942,118
9,1,0.0576959389893424,24.7240053697832,116
9,2,5.89016243517862e-05,16.3125698366016,113
9,3,0.000284858289079971,14.5405322475383,114
9,4,9.87302594645479e-05,16.2877107855229,114
9,5,0.0161626506055794,14.7899994214462,109
9,6,7.14542186548922e-06,16.6183910814711,116
10,1,0.000249069750487081,23.617844876317,113
10,2,0.0127969123103745,20.0658937849913,112
10,3,0.0126353488705437,16.239094088614,113
10,4,0.000192953015248388,15.7528651570001,116
10,5,0.00193793921283548,17.1489323716016,114
10,6,0.000671568927224496,16.3308011413953,116
11,1,0.0861094786547217,23.6087181960147,120
11,2,0.000179258793709309,14.8394262647074,116
11,3,6.07953249601566e-05,14.2090436246459,115
11,4,8.17244479465996e-06,11.8407497725028,114
11,5,0.00054255915991502,13.2840601491382,113
11,6,0.0128003102968851,12.3456837229967,106
12,1,0.10846970687674,14.7772582166495,114
12,2,9.83415303631267e-05,14.6670356128816,115
12,3,0.0138634276310182,14.5539747662591,114
12,4,0.000233658012063463,12.1263112674047,116
12,5,0.0119248619880558,13.3730380149066,114
12,6,0.0108270392441611,12.5149444829058,111
13,1,0.130055531154033,17.5673332493166,117
13,2,0.0151860300227289,17.2794621570983,113
13,3,0.000360998636137421,18.8155798133223,111
13,4,2.77796829643482e-05,18.9498393056476,114
13,5,0.000878891161676752,18.249949766813,113
13,6,0.000341340014813609,15.9808503945012,116
15,1,0.119450884370587,20.7027698279931,115
15,2,0.0173859461565403,17.0930661028977,115
15,3,0.039512824913995,15.243125034165,111
15,4,0.0165813807467529,13.8480449345131,115
15,5,0.0158597746177152,15.5088174269841,114
15,6,0.0155094354326369,16.7211304912785,114
16,1,0.0710957143016425,18.9357867493471,113
16,2,1.14262265268304e-05,14.350372077996,111
16,3,0.0101126220491938,12.5334577831712,115
16,4,7.22027972678866e-05,12.1410264872972,114
16,5,0.028221116436009,13.3317836158621,117
16,6,0.000131093244157866,12.8125094892947,114
17,1,0.0242267533704337,15.4876172655346,112
17,2,0.000104152474469727,11.631177129667,117
17,3,0.000140265546151403,10.5131789333684,117
17,4,8.40241328991793e-05,10.2025530118278,112
17,5,0.000624917286890167,10.1906169873569,114
17,6,0.0111219286958995,7.86362099464028,110
18,1,0.104899802252194,19.9772750374293,114
18,2,0.0243278427822629,15.7346532217228,115
18,3,7.41668991536036e-05,16.0967455906573,115
18,4,3.89527635673284e-05,16.2002101345051,112
18,5,6.78046505410636e-05,18.5183429429893,116
18,6,0.0121780339285942,14.9488847884753,109
19,1,0.149301342954922,16.5572666218747,108
19,2,0.0482470142917796,18.2630798573713,114
19,3,0.0225072610468426,21.8154668116379,117
19,4,4.99814692359844e-05,22.2252363799335,113
19,5,0.0647528006865452,19.5382351304648,113
19,6,0.0142983084093762,20.4266253514004,119
20,1,0.0973641324603424,18.6059412646693,116
20,2,0.0231042944099531,14.8336786640902,115
20,3,0.00024388908858246,14.0380189175262,111
20,4,0.0121195514617237,12.9363231544222,109
20,5,0.00835175977712121,15.1717451344942,118
20,6,4.76017366108216e-05,13.9506057519668,113
21,1,0.017721978241228,20.7696383203806,115
21,2,0.00042476314560259,16.7989235840411,116
21,3,0.000245916444206935,14.9192579727655,111
21,4,0.0078984273640948,15.7084214459852,116
21,5,7.53204041509933e-05,14.3737305413085,112
21,6,0.000249517478618947,15.7123333481604,113
22,1,0.195555850909079,19.4652471885329,117
22,2,0.0421329303643834,16.4153627253926,117
22,3,4.21499853497011e-05,15.5187054121512,111
22,4,0.011701121996443,15.2504482330005,114
22,5,0.0602005913900803,15.2872864127964,111
22,6,0.000363120021220241,16.6176884836069,114
23,1,0.0458978586933599,19.7500382445899,117
23,2,0.021798518788954,13.5145884622328,117
23,3,0.0252799502831629,12.2389140568297,111
23,4,0.000440170753094988,11.2535344406494,109
23,5,0.000126565226170033,12.6392912189599,114
23,6,6.05407159919771e-05,12.7938099652344,109
24,1,0.133064631851272,20.9585570626674,119
24,2,7.47606494954992e-05,17.8195924889217,116
24,3,0.00017104813601759,16.7700882066785,115
24,4,0.0153357940479987,17.2168655931751,109
24,5,0.000202974262292836,17.8172097019737,110
24,6,0.000481093555249086,18.1005717095656,114
25,1,0.0134993648963388,15.8824000244936,111
25,2,0.00432512475288322,10.9965906634237,117
25,3,7.55225805663326e-05,10.961500195547,113
25,4,5.34497746087696e-05,10.7260786863278,117
25,5,0.0114963495691122,9.535604405796,111
25,6,0.00974804451884908,8.8610011837164,115
26,1,0.0380521348312539,14.7324341848106,113
26,2,1.24633012675941e-05,14.9428194026152,118
26,3,1.87676972005994e-05,14.8334224708679,116
26,4,0.000264368067159139,15.1079483185319,114
26,5,0.00052146187170176,12.9652470669672,109
26,6,0.000270567697619201,12.5824107364743,114
27,1,0.062397413158168,14.94552594026,115
27,2,6.98422072658118e-05,14.8082588879313,113
27,3,2.12209989066546e-05,11.1778054708534,117
27,4,0.0131003218877684,11.4739325597941,114
27,5,0.000194767938216398,12.5787042772181,114
27,6,0.000254246054444182,12.1428489541634,111
28,1,0.0879118226731985,18.7067062477987,117
28,2,0.00717593802006952,14.1630342928033,115
28,3,0.010957905270784,13.497555685913,107
28,4,0.00989977932196843,13.7735428420356,113
28,5,0.0125914804083193,13.9311515442732,115
28,6,0.0130121519265114,13.1189444134028,117
29,1,0.0616663429363415,20.9322948442565,114
29,2,0.0192098390286339,17.6370178211342,116
29,3,0.000306034336566823,17.4600638370072,115
29,4,0.0207263281570106,16.5022749988985,112
29,5,0.000529908285851403,20.9553575204804,115
29,6,8.11098518537379e-06,16.3795816162471,112
30,1,0.323067989241879,18.6485797087076,113
30,2,0.0138186064071504,15.9937927298282,117
30,3,0.000210125065726681,16.332670723724,113
30,4,0.0312719157125969,15.3822471628289,112
30,5,0.000716802218602883,17.4887132215565,115
30,6,0.00011120116275613,16.3140341721599,113
31,1,0.085066642111616,26.5122778360347,116
31,2,0.0242513746313868,18.5979913317331,116
31,3,0.0236452705053263,19.4876580827167,118
31,4,5.41752259387219e-05,21.5135565042378,115
31,5,0.000213430139290512,22.5342823165721,108
31,6,0.000161053682015495,20.3807107461172,111
32,1,0.00026916647519957,17.5136120949757,118
32,2,8.16155375377833e-05,10.5995670025272,117
32,3,0.00038680350849707,9.05657811057466,111
32,4,0.000224302971398599,10.0303125569232,114
32,5,5.07347038504647e-05,8.45154581024791,113
32,6,0.00011878764131871,8.77907691251397,111
34,1,0.0313033615231708,22.7790060018131,115
34,2,0.0374878148291268,18.8937515105003,116
34,3,0.0127073236951694,20.5246134597544,117
34,4,0.000205110444236471,21.526066977549,110
34,5,0.0171502743179941,22.3172797642259,114
34,6,0.0313146195665124,20.3944044959106,112
35,1,0.0135017380586788,13.985187264057,110
35,2,9.58594115681487e-05,10.4806627715852,114
35,3,0.000162972492056753,9.88079022464724,117
35,4,6.84885342254801e-05,10.3467032521134,115
35,5,9.39103139309481e-05,11.207815458676,116
35,6,0.00018187288617238,9.53261327675772,112
36,1,0.202951090753585,23.0452266937988,114
36,2,0.116204235926744,19.8127088587572,112
36,3,0.0286929522838193,18.6879307458937,115
36,4,0.00702473490603251,18.2943528710631,116
36,5,0.0440351797009061,20.3385964881811,113
36,6,0.000113737796005656,20.1753240310253,113
37,1,0.0465793826313887,13.8239689880173,116
37,2,0.00774556925684107,11.1900297348173,119
37,3,9.21502384556802e-05,10.3512629123163,112
37,4,3.06052209809731e-05,10.3639967261308,114
37,5,0.000148683897465385,9.01168765126601,110
37,6,7.32029799176059e-05,9.37062154073391,113
38,1,0.111098957622301,19.5867550254652,113
38,2,0.0469596713328668,14.4132088230363,111
